,polygon_id,elevation_mean,elevation_min,elevation_max,elevation_std,gedi_canopy_mean,gedi_canopy_min,gedi_canopy_max,gedi_canopy_std,satellite
0,0,19.030125,19.027897,19.03235,0.0031492126,2.615,2.58,2.65,0.049497597,Gedi
1,2,19.168268,19.168268,19.168268,,15.8,15.8,15.8,,Gedi
2,8,18.9166,18.433933,19.393326,0.5347826,3.725,2.36,6.63,1.9654771,Gedi
3,9,20.805471,20.805471,20.805471,,2.51,2.51,2.51,,Gedi
4,15,21.00859,18.197077,22.024279,1.5864651,6.6099997,2.99,11.35,3.393796,Gedi
5,20,21.256548,20.80805,21.880432,0.46636316,3.92625,2.54,11.03,2.906539,Gedi
6,21,21.314434,21.267126,21.368866,0.051242698,2.9666665,2.92,2.99,0.04041448,Gedi
7,27,21.558481,21.15185,22.082825,0.3500604,2.71,2.51,3.14,0.2569047,Gedi
8,29,22.51086,22.154701,22.867018,0.50368387,4.885,4.49,5.28,0.5586147,Gedi
9,30,23.70386,23.70386,23.70386,,4.04,4.04,4.04,,Gedi
10,33,21.481077,21.390833,21.561226,0.07821003,2.8040001,2.58,3.1,0.20598543,Gedi
11,38,21.544535,21.544535,21.544535,,2.66,2.66,2.66,,Gedi
12,39,22.002373,21.544535,22.249664,0.39692482,2.8400002,2.66,3.1,0.23065117,Gedi
13,40,22.135544,22.072742,22.195333,0.06135107,3.2733333,2.69,3.96,0.64127475,Gedi
14,41,21.859798,21.625088,22.09451,0.33193105,5.615,5.28,5.95,0.47376126,Gedi
15,43,21.47975,21.08787,21.709919,0.34109896,4.9133334,2.84,8.61,3.209304,Gedi
16,45,22.516558,22.516558,22.516558,,2.62,2.62,2.62,,Gedi
17,49,21.838982,20.367924,22.249664,0.72821134,3.8133335,2.62,8.76,2.4307668,Gedi
18,50,22.530067,22.450188,22.577997,0.069638215,3.7300003,3.37,3.93,0.3124101,Gedi
19,54,20.784908,18.909996,22.27375,1.1374997,5.0191665,2.43,12.28,2.974719,Gedi
20,56,21.735167,21.1462,22.408525,0.39747763,2.8345652,2.46,9.35,1.0103811,Gedi
21,57,22.319895,21.89665,22.741486,0.30829573,4.558,2.69,9.35,2.3323321,Gedi
22,60,22.371075,22.301775,22.440376,0.09800592,3.0900002,2.66,3.52,0.60811174,Gedi
23,63,19.661636,19.661636,19.661636,,17.94,17.94,17.94,,Gedi
24,67,23.697796,23.697796,23.697796,,12.06,12.06,12.06,,Gedi
25,68,18.576097,18.576097,18.576097,,2.92,2.92,2.92,,Gedi
26,69,23.543764,23.471853,23.622086,0.06563893,6.11,4.3,7.83,1.5847818,Gedi
27,72,19.740122,18.90817,21.196043,1.2651463,4.66,3.44,6.99,2.0185885,Gedi
